"Establecimiento";"Pc1.Actitud";"Pc1.Atencion";"Pc1.AtencRapida";"Pc1.Servicio";"Pd1.Asesora";"Pd1.InfoCompleta";"Pe1.Experienc";"Pe1.Consultas";"Pe1.ConocGama";"Pe1.ResolConsulta";"Pe1.Interes";"Pe1.EsperaAtenc";"Pe1.EsperaCaja";"Pe1.ResolucRapida";"Pe1.EmpleadCaja";"Pf1.Competitivid";"Pf1.Variedad";"Pg1.NumEmplead";"Pg1.Decoracion";"Pg1.Iluminacion";"Pg1.Climatizacion";"Pg1.OrdenLimpieza";"Pg1.Amplitud";"Pg1.Senalizacion";"Pg1.IdentCadena";"Ph1.CalidadPrecio";"Ph1.Satisfaccion";"C1.Edad";"C2.Sexo";"C3.EstadoCivil";"C4.CompraMedia";"C5.IngMes";"RC1.Edad";"RC2.Sexo";"RC4.CompraMedia";"RC5.IngMes"
"dia";8;5;7;6;7;9;7;7;6;6;6;7;5;6;5;6;5;6;5;6;6;5;5;5;5;6;6;"de 18 a 24";"mujer";"soltero/a";"menos de 15";"menos de 600";21;1;15;600
"dia";8;5;7;6;6;5;6;7;6;6;6;7;5;6;5;5;5;6;5;8;6;5;6;5;5;6;6;"de 18 a 24";"mujer";"soltero/a";"menos de 15";"menos de 600";21;1;15;600
"dia";5;6;6;5;5;4;6;6;5;4;4;7;5;6;5;5;6;6;4;6;4;5;7;5;7;5;5;"de 18 a 24";"mujer";"unido/a";"entre 31 y 45";"menos de 600";21;1;38;600
"carrefour";6;7;4;7;6;7;7;5;7;6;6;6;6;5;6;7;6;5;4;5;7;5;8;4;3;7;5;"de 18 a 24";"hombre";"soltero/a";"menos de 15";"menos de 600";21;0;15;600
"dia";6;7;4;7;6;7;7;5;7;6;6;6;6;5;6;7;6;5;4;5;7;5;8;4;3;7;5;"de 18 a 24";"hombre";"soltero/a";"menos de 15";"menos de 600";21;0;15;600
"dia";3;7;8;3;6;3;4;7;7;7;6;7;5;6;5;6;6;6;5;6;6;5;5;6;5;6;6;"de 18 a 24";"hombre";"soltero/a";"menos de 15";"menos de 600";21;0;15;600
"dia";3;7;8;3;9;8;3;7;7;7;6;7;5;6;5;7;6;6;5;4;6;5;6;6;5;6;6;"de 18 a 24";"hombre";"soltero/a";"menos de 15";"menos de 600";21;0;15;600
"dia";4;4;4;4;5;6;4;4;6;6;4;4;4;4;4;3;3;3;4;7;6;5;3;2;2;7;4;"de 18 a 24";"mujer";"unido/a";"entre 15 y 30";"menos de 600";21;1;23;600
"carrefour";1;3;3;2;4;3;5;4;4;3;6;3;1;4;4;5;8;3;4;5;3;4;7;8;8;6;5;"mas de 64";"mujer";"viudo/a";"menos de 15";"menos de 600";65;1;15;600
"dia";3;2;3;4;4;5;4;6;5;3;6;6;8;7;6;8;4;6;4;6;6;4;5;4;6;8;7;"de 25 a 35";"hombre";"soltero/a";"entre 15 y 30";"menos de 600";30;0;23;600
"dia";3;2;3;4;4;5;4;6;5;3;6;6;8;7;6;8;4;6;4;6;6;4;5;4;6;8;7;"de 25 a 35";"hombre";"soltero/a";"entre 15 y 30";"menos de 600";30;0;23;600
"dia";2;2;2;2;2;3;1;4;3;5;2;2;1;1;1;3;4;3;1;4;2;4;3;1;2;2;2;"de 55 a 64";"hombre";"casado/a";"entre 15 y 30";"menos de 600";60;0;23;600
"dia";2;2;2;2;2;3;1;4;3;5;2;2;1;1;1;3;4;3;1;4;2;4;3;1;2;2;2;"de 55 a 64";"hombre";"casado/a";"entre 15 y 30";"menos de 600";60;0;23;600
"dia";6;6;7;8;7;3;5;7;6;4;6;8;7;5;6;8;8;7;5;5;4;3;8;8;9;7;4;"de 55 a 64";"hombre";"casado/a";"entre 15 y 30";"menos de 600";60;0;23;600
"dia";6;5;4;5;5;5;4;6;5;4;5;2;6;1;4;3;3;1;2;2;1;3;2;5;4;2;1;"de 18 a 24";"hombre";"soltero/a";"entre 15 y 30";"menos de 600";21;0;23;600
"dia";3;3;1;3;6;3;4;5;7;7;2;3;3;3;1;4;3;4;4;4;4;3;3;4;7;8;5;"de 18 a 24";"mujer";"soltero/a";"menos de 15";"menos de 600";21;1;15;600
